Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,
Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Ak.[1]
Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,
Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,
California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,Cal.
Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,
Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,
Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,
District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Dis. Col.[2]
Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,
Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.[1]
Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,Hi.[1]
Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,Ida.[1]
Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Ills., Ill's"
Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,
Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,Ioa.[a]
Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,Ka.
Kentucky,State,US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.[b]"
Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,
Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,
Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,"Mar., Mary."
Massachusetts,State,US-MA,MA,25,MA,MS,Mass.,Mass.,
Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,
Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,
Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,
Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,
Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,
Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,
Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,
New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,
New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N. Jersey[2]
New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,"New M., New Mex."
New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York[2]
North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.
North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,
Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,Oh.[1]
Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,
Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,
Pennsylvania,State,US-PA,PA,42,PA,PA,Pa.,Pa.,Penn.[1]
Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,R.I. & P.P.
South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.
South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak
Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,
Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,
Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.[1]
Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,Verm.[3]
Virginia,State,US-VA,VA,51,VA,VA,Va.,Va.,Virg.
Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,Wn.[4]
West Virginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg."
Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,Wisc.
Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,
